,precision,recall,threshold
0,0.0017274795651807534,1.0,0.0
1,0.8761061946902655,0.8048780487804879,0.006032466888427734
2,0.8839285714285714,0.8048780487804879,0.4412671625614166
3,0.8918918918918919,0.8048780487804879,0.7993790507316589
4,0.8909090909090909,0.7967479674796748,0.8001641035079956
5,0.8990825688073395,0.7967479674796748,0.814338207244873
6,0.9431818181818182,0.6747967479674797,0.8192803263664246
7,0.9425287356321839,0.6666666666666666,0.8225550651550293
8,0.9418604651162791,0.6585365853658537,0.8296539783477783
9,0.9411764705882353,0.6504065040650406,0.8398048281669617
10,0.9404761904761905,0.6422764227642277,0.863014817237854
11,0.9518072289156626,0.6422764227642277,0.867393434047699
12,0.9512195121951219,0.6341463414634146,0.8717812299728394
13,0.9629629629629629,0.6341463414634146,0.933940052986145
14,0.9625,0.6260162601626016,0.9675096273422241
15,0.9620253164556962,0.6178861788617886,0.9740308523178101
16,0.9615384615384616,0.6097560975609756,0.9768551588058472
17,0.961038961038961,0.6016260162601627,0.9785643815994263
18,0.9605263157894737,0.5934959349593496,0.9834030866622925
19,0.96,0.5853658536585366,0.9845877885818481
20,0.9594594594594594,0.5772357723577236,0.9869817495346069
21,0.958904109589041,0.5691056910569106,0.9896077513694763
22,0.9583333333333334,0.5609756097560976,0.9944050908088684
23,0.9577464788732394,0.5528455284552846,0.9944369792938232
24,0.9571428571428572,0.5447154471544715,0.995502233505249
25,0.9565217391304348,0.5365853658536586,0.995611310005188
26,0.9558823529411765,0.5284552845528455,0.9963284730911255
27,0.9552238805970149,0.5203252032520326,0.9963825941085815
28,0.9696969696969697,0.5203252032520326,0.9967255592346191
29,0.9692307692307692,0.5121951219512195,0.9980044364929199
30,0.96875,0.5040650406504065,0.9986546039581299
31,0.9682539682539683,0.4959349593495935,0.998700737953186
32,0.967741935483871,0.4878048780487805,0.9989086389541626
33,0.9672131147540983,0.4796747967479675,0.9989883303642273
34,0.9666666666666667,0.4715447154471545,0.9990285634994507
35,0.9661016949152542,0.4634146341463415,0.9992793798446655
36,0.9655172413793104,0.45528455284552843,0.9995661973953247
37,0.9824561403508771,0.45528455284552843,0.9996658563613892
38,0.9821428571428571,0.44715447154471544,0.9996700286865234
39,0.9818181818181818,0.43902439024390244,0.9997575283050537
40,0.9814814814814815,0.43089430894308944,0.9997823238372803
41,0.9811320754716981,0.42276422764227645,0.9998607039451599
42,0.9807692307692307,0.4146341463414634,0.9998730421066284
43,1.0,0.4146341463414634,0.9998893141746521
44,1.0,0.4065040650406504,0.9999231696128845
45,1.0,0.3983739837398374,0.9999401569366455
46,1.0,0.3902439024390244,0.9999414682388306
47,1.0,0.3821138211382114,0.9999711513519287
48,1.0,0.37398373983739835,0.9999772310256958
49,1.0,0.36585365853658536,0.999988317489624
50,1.0,0.35772357723577236,0.9999887943267822
51,1.0,0.34959349593495936,0.9999890327453613
52,1.0,0.34146341463414637,0.9999890923500061
53,1.0,0.3333333333333333,0.9999918341636658
54,1.0,0.3252032520325203,0.9999922513961792
55,1.0,0.3170731707317073,0.9999923706054688
56,1.0,0.3089430894308943,0.9999927878379822
57,1.0,0.3008130081300813,0.9999957084655762
58,1.0,0.2926829268292683,0.9999964237213135
59,1.0,0.2845528455284553,0.9999971389770508
60,1.0,0.2764227642276423,0.9999972581863403
61,1.0,0.2682926829268293,0.9999973773956299
62,1.0,0.2601626016260163,0.9999977350234985
63,1.0,0.24390243902439024,0.9999982118606567
64,1.0,0.23577235772357724,0.9999983310699463
65,1.0,0.22764227642276422,0.9999986886978149
66,1.0,0.21138211382113822,0.9999990463256836
67,1.0,0.2032520325203252,0.9999996423721313
68,1.0,0.18699186991869918,0.9999997019767761
69,1.0,0.17886178861788618,0.9999997615814209
70,1.0,0.15447154471544716,0.9999998211860657
71,1.0,0.14634146341463414,0.9999998807907104
72,1.0,0.11382113821138211,1.0
73,1.0,0.0,
