,fpr,tpr,threshold
0,0.0,0.0,2.0
1,8.441311779850589e-05,0.6016260162601627,1.0
2,8.441311779850589e-05,0.6260162601626016,0.9999988
3,9.848197076492353e-05,0.6260162601626016,0.9999979
4,9.848197076492353e-05,0.6585365853658537,0.9999918
5,0.00011255082373134118,0.6585365853658537,0.9999622
6,0.00011255082373134118,0.7154471544715447,0.86304617
7,0.00012661967669775882,0.7154471544715447,0.78093755
8,0.00012661967669775882,0.7235772357723578,0.67643094
9,0.00014068852966417648,0.7235772357723578,0.6576549
10,0.00014068852966417648,0.7317073170731707,0.51479465
11,0.00019696394152984707,0.7398373983739838,0.20373985
12,0.00019696394152984707,0.7723577235772358,2.8759241e-05
13,1.0,1.0,0.0
