,precision,recall,threshold
0,0.0017274795651807534,1.0,0.0
1,0.8135593220338984,0.7804878048780488,2.9802322387695312e-08
2,0.811965811965812,0.7723577235772358,5.960464477539063e-08
3,0.8103448275862069,0.7642276422764228,8.940696716308594e-08
4,0.8173913043478261,0.7642276422764228,2.384185791015625e-07
5,0.8245614035087719,0.7642276422764228,1.2546777725219727e-05
6,0.8230088495575221,0.7560975609756098,0.00013327598571777344
7,0.8303571428571429,0.7560975609756098,0.0001939237117767334
8,0.8378378378378378,0.7560975609756098,0.0007691681385040283
9,0.8454545454545455,0.7560975609756098,0.0017958879470825195
10,0.8532110091743119,0.7560975609756098,0.12665334343910217
11,0.8611111111111112,0.7560975609756098,0.6419280171394348
12,0.8598130841121495,0.7479674796747967,0.8341343402862549
13,0.8679245283018868,0.7479674796747967,0.8987542390823364
14,0.8761904761904762,0.7479674796747967,0.9728895425796509
15,0.8846153846153846,0.7479674796747967,0.9840779900550842
16,0.883495145631068,0.7398373983739838,0.9937881231307983
17,0.8921568627450981,0.7398373983739838,0.9956842660903931
18,0.900990099009901,0.7398373983739838,0.9967260360717773
19,0.9,0.7317073170731707,0.9979324340820312
20,0.9090909090909091,0.7317073170731707,0.9999788403511047
21,0.9183673469387755,0.7317073170731707,0.9999978542327881
22,0.9175257731958762,0.7235772357723578,0.9999997615814209
23,0.9166666666666666,0.7154471544715447,1.0
24,1.0,0.0,
