,fpr,tpr,threshold
0,0.0,0.0,2.0
1,0.00018289508856342943,0.7560975609756098,1.0
2,0.00019696394152984707,0.7560975609756098,0.9999965
3,0.00019696394152984707,0.7804878048780488,0.96054983
4,0.00022510164746268236,0.7804878048780488,0.904801
5,0.00022510164746268236,0.7886178861788617,0.8926152
6,0.00025323935339551765,0.7886178861788617,0.399937
7,0.00025323935339551765,0.7967479674796748,0.0019928515
8,0.0002673082063619353,0.7967479674796748,0.0003591478
9,0.0002673082063619353,0.8048780487804879,2.2351742e-06
10,0.0003235836182276059,0.8048780487804879,2.9802322e-08
11,1.0,1.0,0.0
